"Rank","Tier","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","1","","Christian McCaffrey","CAR","RB1","13","1","6","1.2","0.9","1.0","0.0"
"2","1","","Saquon Barkley","NYG","RB2","11","1","5","2.2","0.7","3.0","+1.0"
"3","1","","Ezekiel Elliott","DAL","RB3","10","2","12","3.3","1.2","2.0","-1.0"
"4","1","","Derrick Henry","TEN","RB4","7","2","27","5.2","1.8","7.0","+3.0"
"5","2","","Alvin Kamara","NO","RB5","6","1","20","6.3","2.1","5.0","0.0"
"6","2","","Dalvin Cook","MIN","RB6","7","2","57","7.2","6.3","6.0","0.0"
"7","2","","Michael Thomas","NO","WR1","6","3","22","8.9","3.4","4.0","-3.0"
"8","2","","Nick Chubb","CLE","RB7","9","3","42","10.7","5.9","11.0","+3.0"
"9","2","","Davante Adams","GB","WR2","5","3","22","10.8","3.0","8.0","-1.0"
"10","2","","Joe Mixon","CIN","RB8","9","4","31","11.1","5.9","9.0","-1.0"
"11","2","","Josh Jacobs","LV","RB9","6","2","44","11.4","5.7","12.0","+1.0"
"12","3","","Tyreek Hill","KC","WR3","10","5","25","13.0","3.0","10.0","-2.0"
"13","3","","Julio Jones","ATL","WR4","10","3","29","13.9","3.2","13.0","0.0"
"14","3","","Miles Sanders","PHI","RB10","9","5","31","17.1","6.5","19.0","+5.0"
"15","3","","Travis Kelce","KC","TE1","10","11","33","17.6","1.9","17.0","+2.0"
"16","3","","Clyde Edwards-Helaire","KC","RB11","10","3","59","13.8","8.7","16.0","0.0"
"17","3","","Chris Godwin","TB","WR5","13","11","81","18.1","4.8","18.0","+1.0"
"18","3","","George Kittle","SF","TE2","11","11","46","18.8","3.2","21.0","+3.0"
"19","3","","Aaron Jones","GB","RB12","5","7","47","19.6","6.9","15.0","-4.0"
"20","3","","DeAndre Hopkins","ARI","WR6","8","11","54","20.9","6.3","14.0","-6.0"
"21","3","","Kenny Golladay","DET","WR7","5","13","40","21.1","4.5","25.0","+4.0"
"22","3","","Kenyan Drake","ARI","RB13","8","6","66","21.9","8.9","20.0","-2.0"
"23","4","","Mike Evans","TB","WR8","13","13","90","25.1","5.9","24.0","+1.0"
"24","4","","Patrick Mahomes","KC","QB1","10","13","54","26.2","9.2","22.0","-2.0"
"25","4","","Austin Ekeler","LAC","RB14","10","5","44","29.4","7.6","26.0","+1.0"
"26","4","","Mark Andrews","BAL","TE3","8","17","63","29.6","8.9","31.0","+5.0"
"27","4","","Amari Cooper","DAL","WR9","10","15","93","30.6","6.7","28.0","+1.0"
"28","4","","A.J. Brown","TEN","WR10","7","13","57","30.9","7.0","37.0","+9.0"
"29","4","","Chris Carson","SEA","RB15","6","8","71","31.0","9.7","38.0","+9.0"
"30","4","","Allen Robinson","CHI","WR11","11","15","64","31.4","7.7","32.0","+2.0"
"31","4","","Odell Beckham Jr.","CLE","WR12","9","12","112","31.9","6.8","27.0","-4.0"
"32","4","","Lamar Jackson","BAL","QB2","8","6","68","32.2","10.2","23.0","-9.0"
"33","4","","Adam Thielen","MIN","WR13","7","20","62","33.9","7.8","39.0","+6.0"
